review_id,productID,userID,opinion_lexicon_withoutSW_DT_IN,nltk_withoutSW_DT_IN,afinn_withoutSW_DT_IN,afinn_handling_negation,final_score
0,B003AI2VGA,A141HP4LYPWMSR,-1,1,1,0,1
1,B003AI2VGA,A328S9RN3U5M68,-1,-1,-1,-1,-1
2,B003AI2VGA,A1I7QGUDP043DG,-1,-1,-1,-1,-1
3,B003AI2VGA,A1M5405JH9THP9,-1,-1,-1,-1,-1
4,B003AI2VGA,ATXL536YX71TR,-1,-1,-1,-1,-1
5,B003AI2VGA,A3QYDL5CDNYN66,0,-1,-1,-1,-1
6,B003AI2VGA,AQJVNDW6YZFQS,-1,-1,-1,-1,-1
7,B00006HAXW,AD4CDZK7D31XP,1,1,1,1,1
8,B00006HAXW,A3Q4S5DFVPB70D,1,1,1,1,1
9,B00006HAXW,A2P7UB02HAVEPB,1,1,1,1,1
10,B00006HAXW,A2TX99AZKDK0V7,1,1,1,1,1
11,B00006HAXW,AFC8IKR407HSK,1,1,1,1,1
12,B00006HAXW,A1FRPGQYQTAOR1,1,1,1,1,1
13,B00006HAXW,A1RSDE90N6RSZF,1,1,1,1,1
14,B00006HAXW,A1OUBOGB5970AO,0,1,-1,1,1
15,B00006HAXW,A3NPHQVIY59Y0Y,1,1,1,1,1
16,B00006HAXW,AFKMBAY28XO8A,1,1,1,1,1
17,B00006HAXW,A66KMXH9V7OGU,1,1,1,1,1
18,B00006HAXW,AFJ27ZV9183B8,1,1,1,1,1
19,B00006HAXW,AXMKAXC0TR9AW,1,1,1,1,1
20,B00004CQT3,A34KFDQ5KBHZA5,1,-1,1,1,1
21,B00004CQT3,A1CIW2OEVAJRM2,1,1,1,1,1
22,B00004CQT3,A1VJCDRXUQVXBM,1,1,1,1,1
23,B00004CQT3,A2IMLPUXYQJTSY,-1,1,1,1,1
24,B00004CQT3,A1D12NAC1U12F0,-1,1,1,-1,-1
25,B00004CQT3,A3RVH9HUN9J4LZ,1,1,1,1,1
26,B00004CQT3,AH7ZNGM8WOOGN,1,1,1,1,1
27,B00004CQT3,A2582KMXLK2P06,-1,1,1,1,1
28,B00004CQT3,A1J50B4K22D93F,0,1,1,-1,1
29,B00004CQT3,A2DLKD4AC5JV5Q,1,1,1,1,1
30,B00004CQT3,A8DDTUL8OWFMO,1,1,1,1,1
31,B00004CQT3,A174WE983H06N4,1,1,1,1,1
32,B00004CQT3,ASES4LU7WKYC,1,-1,0,0,0
33,B00004CQT3,A3N27L13CWJ9HY,0,1,1,1,1
34,B00004CQT3,A2H5D7IK9SF07M,1,1,1,1,1
35,B00004CQT3,A2URPOBDQK3WG,1,1,1,1,1
36,B00004CQT3,A2TTVV34NLMZI8,1,1,1,1,1
37,B00004CQT3,A7LRQFZW3D9NE,1,1,1,1,1
38,B00004CQT3,A2R1VN4J5L2ZCO,1,1,1,1,1
39,B00004CQT3,A2I6MHMAZZDCRX,1,1,1,1,1
40,B00004CQT3,A3GX0UO7XXZST2,1,1,1,1,1
41,B00004CQT3,A2942G3FDOIM18,1,1,1,1,1
42,B00004CQT3,A11L5M4MJP00UW,1,1,1,1,1
43,B00004CQT3,A2VDM3D712BGLE,-1,-1,-1,-1,-1
44,B00004CQT4,A1NN07FHTQZZ6K,-1,1,1,1,1
45,B00004CQT4,A245OASCPKPJHC,1,1,1,1,1
46,B00004CQT4,AVQRC2N2SSSYS,1,1,1,1,1
47,B00004CQT4,A2ON9S58W4AZ1Z,1,1,1,1,1
48,B00004CQT4,A3IG9WGCIHPJ6X,-1,-1,1,-1,-1
49,B006JIUN2W,A44YJ6ZLTMAR6,1,1,1,1,1
50,B0078V2LCY,A27H9DOUGY9FOS,-1,1,1,1,1
51,B0078V2LCY,A39M64IZTC04G0,0,-1,0,1,0
52,B003ZG3GAM,ATK3QFC6L1318,1,1,1,1,1
53,B004BH1TN0,AWPODHOB4GFWL,1,1,1,1,1
54,B004BH1TN0,A1R6DF0KOJ0TG6,1,1,1,1,1
55,B004BH1TN0,A9Q28YTLYREO7,1,1,1,1,1
56,B004BH1TN0,AVV8PPI6BDKVA,1,1,1,1,1
57,B004BH1TN0,A14HV65O34S8EF,-1,1,-1,1,-1
58,B004BH1TN0,A39I79H1A2A8C3,-1,1,1,1,1
59,B004BH1TN0,A2M4H4R4Z7UDZX,1,1,1,1,1
60,B004BH1TN0,A2WFI5XFB7NHHJ,1,1,1,1,1
61,B004BH1TN0,AUQW6UEZFC7B2,1,1,1,1,1
62,B0071AD95K,AA72A0AYTWV5Y,1,1,1,1,1
63,B0071AD95K,A13NO1WIGJZUV4,1,1,1,1,1
64,B0071AD95K,AOIT2QUH8GRGA,1,1,1,1,1
65,B0071AD95K,A2D595HNMO9PHR,-1,-1,1,1,-1
66,B0071AD95K,A3ENN12GLNTUAF,1,1,1,1,1
67,B0071AD95K,A2OKCS5234ZV7S,1,1,1,1,1
68,B0071AD95K,A1MXSUEA3ZK5UZ,0,1,1,1,1
69,B0071AD95K,A31YQQYX9PU04Z,1,1,1,1,1
70,B0071AD95K,A2BTR8ZO8MB01D,1,1,1,1,1
71,B000063W1R,A29DLKCN8QWO7B,1,1,1,1,1
72,B000063W1R,A295JWKTJLM7YT,1,1,1,1,1
73,B000063W1R,A1M3W0ROKC7F3C,1,1,1,1,1
74,B000063W1R,A2M2O1DI1SCQDI,1,1,1,1,1
75,B000063W1R,A2IOMS4TK2QSFW,1,1,1,1,1
76,B000063W1R,A2YWH9COGWT8VU,1,1,1,1,1
77,B000063W1R,A3QIEISBZP4QTV,1,1,1,1,1
78,B000063W1R,A17RUD7RKGZUA4,1,1,1,1,1
79,B000063W1R,A18758S1PUYIDT,1,1,1,1,1
80,B000063W1R,A2UFG3DMVELP6I,1,1,1,1,1
81,B000063W1R,A4FBBS25X3XEL,1,1,1,1,1
82,B000063W1R,A23Q1T4MXZHFM7,1,1,1,1,1
83,B000063W1R,ANZNLFBN62YKH,1,1,1,1,1
84,B000063W1R,A2FX6OHBMQ9545,1,1,1,-1,1
85,B000063W1R,A1MIFONBFK8OWE,1,1,1,1,1
86,B000063W1R,A1DZ4MTJY8LAVG,1,1,1,1,1
87,B000063W1R,A3NNR95R50VB4W,1,1,1,1,1
88,B000063W1R,A19O5ETNRJN39D,-1,1,1,1,1
89,B000063W1R,AMEJTGF5NQLNH,0,1,1,0,0
90,B000063W1R,A1DDVFGUC6NQD3,1,1,1,0,1
91,B000063W1R,A36SSF310LBGSE,1,1,1,1,1
92,B000063W1R,A63FDY7VFOMQV,1,1,1,1,1
93,B000063W1R,A3R95JCH1K9R0S,1,1,1,1,1
94,B000063W1R,A2IT3899H776LW,1,1,1,1,1
95,B000063W1R,A3NWP0SFAC0ZD2,1,1,1,1,1
96,B000063W1R,A1AFHYBINSG7PH,1,1,1,1,1
97,B000063W1R,A3N2MVBI1A2I9Y,1,1,1,1,1
98,B000063W1R,A3VP6XR88INLRB,1,1,1,1,1
99,B000063W1R,A355WMP0CQBJFX,1,1,1,1,1
100,B000063W1R,A2CU4L3OK00M23,0,1,-1,1,1
101,B000063W1R,A41I67QYRAOSQ,1,1,1,1,1
102,B000063W1R,A1XY417YALQB6G,1,1,1,1,1
103,B000063W1R,A2PNB2HQTF51UE,1,1,1,1,1
104,B000063W1R,ATQDMCZ904Y4W,1,1,1,1,1
105,B000063W1R,A1IJINKEDO8E8A,1,1,1,-1,1
106,B000063W1R,AQ8DU6XVA3USJ,1,1,1,1,1
107,B000063W1R,A1ICAVFAYAJDUP,1,1,1,1,1
108,B000063W1R,ALX2RTJW3NF0O,1,1,1,1,1
109,B000063W1R,A1KPXFWEB2TLGR,1,1,1,1,1
110,B000063W1R,A2M6FIWDCDWDVM,1,1,1,1,1
111,B000063W1R,A3QEBUBAQHE4DI,-1,-1,-1,-1,-1
112,B000063W1R,A3AE7GKA6NF3ML,1,1,1,1,1
113,B000063W1R,A1FBZRYTAA6O1Z,1,1,1,1,1
114,B000063W1R,A2FEGRJQNU51P9,1,1,1,1,1
115,B000063W1R,A18XYPKYS15YBP,0,1,1,1,1
116,B000063W1R,A1EMDSTJDUE6B0,1,1,1,1,1
117,B000063W1R,A7FMCZZVFHRLW,1,1,1,1,1
118,B000063W1R,A861XPXU3SH9M,1,1,1,1,1
119,B000063W1R,A2H3SK7N5T2ASO,1,1,1,1,1
120,B000063W1R,A15BHBF0L0HV1F,1,1,1,1,1
121,B000063W1R,A1748KGXK92TXY,1,1,1,1,1
122,B000063W1R,A1LG64CVEGG5NT,1,1,1,1,1
123,B000063W1R,A3EIH6UL4N0YW,1,1,1,1,1
124,B000063W1R,A3TBQJ5HEV51ZC,1,1,1,1,1
125,B000063W1R,A1A19C00QZVRTK,1,1,1,1,1
126,B000063W1R,A2DPL3M7VU1GYZ,1,1,1,0,1
127,B000063W1R,A100Y8WSLFJN7Q,1,1,1,1,1
128,B000063W1R,A17WER66R17JEF,1,1,1,1,1
129,B000063W1R,A2198FZZMTJ38H,1,1,1,1,1
130,B000063W1R,A328S9RN3U5M68,1,1,1,1,1
131,B000063W1R,A2V3P1XE33NYC3,1,1,1,1,1
132,B000063W1R,A3L2U581LL17EB,1,1,1,1,1
133,B000063W1R,A1Z9OQG9GZ26X2,1,1,1,1,1
134,B000063W1R,A28ILXH590CMRJ,1,1,1,1,1
135,B000063W1R,A2VOIE123XM7T5,1,1,1,1,1
136,B000063W1R,ADX5JX5LKLC22,1,1,1,1,1
137,B000063W1R,AA09N6UF7K8AC,1,1,1,1,1
138,B000063W1R,A13TO1ZFAH9SVN,1,1,1,1,1
139,B000063W1R,AWR2BFHVWHKXT,1,1,1,1,1
140,B000063W1R,A1NHXG2NDI7MXG,1,1,1,1,1
141,B000063W1R,A1VE2B3RHJQZHM,1,1,1,1,1
142,B000063W1R,AM3W8N7L2AWFF,1,1,1,1,1
143,B000063W1R,A17JY4CJX89PQD,1,1,1,1,1
144,B000063W1R,A478YKPNCTUSI,1,1,1,1,1
145,B000063W1R,ANGAFKOX9IG3W,1,1,0,0,0
146,B000063W1R,A2W41HPK58KR10,1,1,1,1,1
147,B000063W1R,A1LRF0ZCQHIK0I,-1,-1,-1,1,-1
148,B000063W1R,AC4P2ILHYJS3S,1,1,1,1,1
149,B000063W1R,A2SZDYCNZPTM74,1,1,1,1,1
150,B000063W1R,AJ9G7XEBLY56C,-1,1,0,1,1
151,B000063W1R,A1O0FV74YJWRPL,1,1,1,1,1
152,B000063W1R,A17JF9HPSP3J3H,1,1,1,1,1
153,B000063W1R,A2RX6PA6YAUGXW,0,1,1,1,1
154,B000063W1R,A25M5W25GQPGDW,1,1,1,1,1
155,B000063W1R,AHPAI9KYAUMGF,1,1,1,1,1
156,B000063W1R,ATTETV8QSM1EX,1,1,1,1,1
157,B000063W1R,A1UGZNYU3NHKTY,1,1,1,1,1
158,B000063W1R,A396KT0U4VOI1E,1,1,1,1,1
159,B000063W1R,A3J6UKT3S8GZ1K,-1,1,1,1,1
160,B000063W1R,A1HHG9CDRDS8IG,1,1,1,1,1
161,B000063W1R,A22TGAZTYUERZN,1,1,1,1,1
162,B000063W1R,AO9A87DKEUH6J,1,1,1,1,1
163,B000063W1R,A3LXHBXOVW3TZU,1,1,1,1,1
164,B000063W1R,A37D2QEU08C1G8,1,1,1,1,1
165,B000063W1R,A1Z6PSZN53T7BL,1,1,1,1,1
166,B000063W1R,A9SBB3KS4EOAN,1,1,1,1,1
167,B000063W1R,A1I7EUZ6IGE4IX,1,1,1,1,1
168,B000063W1R,A1NISD0L3OTTYH,-1,1,0,0,0
169,B000063W1R,A37SEUCH6PISDK,1,1,1,1,1
170,B000063W1R,A1AIV6MT6LKX1N,1,1,1,1,1
171,B000063W1R,A32L8SSXE7OKGK,1,1,1,1,1
172,B000063W1R,ANCOMAI0I7LVG,1,1,1,1,1
173,B000063W1R,A3C7H0F73YXNTS,1,1,1,1,1
174,B000063W1R,A2XUIU2GOMA68G,1,1,1,-1,1
175,B000063W1R,A3EFCK0HZQPNQI,1,1,1,1,1
176,B000063W1R,A1U8WDQGJ0HZBP,1,1,1,1,1
177,B000063W1R,A3SPJY549DXL10,0,1,1,1,1
178,B000063W1R,A2RW7HXNEJ0QTQ,-1,1,1,1,1
179,B000063W1R,A4OWXQLYVER4R,0,-1,1,1,1
180,B000063W1R,AG9A3ZL7ODL6X,1,1,1,1,1
181,B000063W1R,A2XTMDDO0UCOGW,1,1,1,1,1
182,B000063W1R,A3GV24GH1AFXDJ,1,1,1,1,1
183,B000063W1R,A1VT9SADFD9BZV,1,1,1,1,1
184,B000063W1R,A31VEVBN7K842C,1,1,1,1,1
185,B000063W1R,A1O05HYBO2L271,1,1,1,1,1
186,B000063W1R,A1UMSB7LAW0RIR,1,1,1,1,1
187,B000063W1R,A22QDGL361UBG8,1,1,1,1,1
188,B000063W1R,A27GP310AJR9JI,0,1,1,1,1
189,B000063W1R,A39CX0EE4BZCZC,1,1,1,1,1
190,B000063W1R,A30PZUE2YQHXGJ,0,1,1,1,1
191,B000063W1R,A91VKBOACYQ7F,1,1,1,1,1
192,B000063W1R,A3VC1CIRFDXJAY,1,1,1,1,1
193,B000063W1R,A2PKRPEODLQSH1,1,1,1,1,1
194,B000063W1R,A3A4WQL80WOTMH,1,1,1,0,1
195,B000063W1R,A273SGLDMWWZ66,1,1,1,1,1
196,B000063W1R,A1GHUN5HXMHZ89,1,1,1,1,1
197,B000063W1R,AAVLB0GGEKRCO,1,1,1,-1,1
198,B000063W1R,A88PY6TRF86XF,1,1,1,1,1
199,B000063W1R,A2GB3S7X9KV11X,1,1,1,1,1
200,B000063W1R,A2PC9EFEVC8W59,1,1,1,1,1
201,B000063W1R,A15Q7ABIU9O9YZ,1,-1,-1,-1,-1
202,B000063W1R,A2NUHWMHA9XNKV,1,1,1,1,1
203,B000063W1R,A25HYPL2XKQPZB,1,1,1,1,1
204,B000063W1R,A1BZZNC5DJG3TZ,1,1,1,1,1
205,B000063W1R,A2TD13LRUGU46X,1,1,1,1,1
206,B000063W1R,A2Z71PNFQ40HF6,-1,1,1,1,1
207,B000063W1R,A16HYHVQIFMRP6,1,1,1,1,1
208,B000063W1R,A1FYYU65Q436C2,1,1,1,1,1
209,B000063W1R,A1G9FR0T9UGFQR,1,1,1,1,1
210,B000063W1R,A304OFBH6YJX8M,1,1,1,1,1
211,B000063W1R,A3D3D3349KVVFV,0,1,1,1,1
212,B000063W1R,A1GRC5WGBMT8BF,1,1,1,1,1
213,B000063W1R,AEXVGEMTTOXV9,1,1,1,1,1
214,B000063W1R,A2HN2BU4VXBQ3H,0,1,1,1,1
215,B000063W1R,AI2G6ZZS0G00Y,1,1,1,1,1
216,B000063W1R,A2KWFGHX2PKJJB,1,1,1,1,1
217,B000063W1R,A2NVQZ4Y7Y0J1R,1,1,1,1,1
218,B000063W1R,A34X0JH8GU1TCL,1,1,1,1,1
219,B000063W1R,A3A1MXZAP0AVYM,1,1,1,1,1
220,B000063W1R,AHQYCRL2FMG3D,1,1,1,1,1
221,B000063W1R,A1HX00DL0SZM1G,1,1,1,1,1
222,B000063W1R,AWMI8T6T8R0Q5,0,1,1,-1,1
223,B000063W1R,ASM49K4PPX7EA,1,1,1,1,1
224,B000063W1R,A2WB4OWBUH2VQX,1,1,1,1,1
225,B000063W1R,A1KFBAPAKMEQUF,1,1,1,1,1
226,B000063W1R,A16837CKPTA07O,1,1,1,-1,1
227,B000063W1R,A2ZLROGIL2V7GV,1,1,1,1,1
228,B000063W1R,A2PV19AS7V6JY3,1,1,1,1,1
229,B000063W1R,A1655SGPPUUCRP,1,1,1,1,1
230,B000063W1R,A3FX9KYW53MRBD,-1,-1,1,-1,-1
231,B000063W1R,A2ZQ75P93V9MX9,-1,1,1,-1,-1
232,B000063W1R,A3LFFFKJEO2ZFK,0,1,1,1,1
233,B000063W1R,A30LQLFU8JFDPM,0,1,1,1,1
234,B000063W1R,A3TXNSN0LN4CRC,1,1,1,1,1
235,B000063W1R,A7Y6AVS576M03,1,1,1,1,1
236,B000063W1R,A1ESIMERJCCX6,1,1,1,1,1
237,B000063W1R,A3S1N6O1HAURLJ,1,1,1,1,1
238,B000063W1R,AED6N2DP65192,1,1,1,1,1
239,B000063W1R,A2VN0HXQR27YF,-1,-1,-1,-1,-1
240,B000063W1R,A103VZ3KDF2RT5,-1,-1,-1,-1,-1
241,B000063W1R,AZ289K8AEXF21,1,1,-1,-1,-1
242,B000063W1R,A1MJ2N6XARKOFQ,1,1,1,1,1
243,B000063W1R,A2KW1R12GJO3BI,1,1,1,1,1
244,B000063W1R,A112UYCJEYZPIP,-1,1,1,1,1
245,B000063W1R,A2DB5YBO8INXWZ,1,1,1,1,1
246,B000063W1R,A21TCW8DZTOJKS,1,1,1,1,1
247,B000063W1R,A26WR0278FJD0Q,1,1,1,0,1
248,B000063W1R,AQZH7YTWQPOBE,1,1,1,1,1
249,B000063W1R,A2ZHLRZA2UHKNN,1,1,1,0,1
250,B000063W1R,A24TXEHKPFHT0J,1,1,1,1,1
251,B000063W1R,A3C9RIZVADD3B6,1,1,1,1,1
