users_id,liked_movies
A100PY9HC7VVI8,['B001LMU1A0']
A100Y8WSLFJN7Q,['B000063W1R']
A101PLUE57KUSS,['B000065K9R']
A101XQF0IGPEO,['6305340854']
A1027EV8A9PV1O,[]
A102TBYVX6319C,['B0000TPAVK']
A1031BCVB4XNKB,[]
A103EXN5Q7HX6Z,[]
A103VZ3KDF2RT5,[]
A103ZG6ASSR7UT,['B004TWOX26']
A1041HQGJDKFG5,['B0001G6PZC']
A104NCZUD52CWG,['B000063W82']
A105M4X0CO8JC6,['B0085KGGLY']
A105MTA2X8Q9OT,['B004EPYZQ2']
A106016KSI0YQ,['B001LMU1A0']
A1078L9AXZRGT7,['B000063W82']
A109RJVTZ7LRMS,['B000063W82']
A10CJINP7KBR4W,[]
A10DB0H2NZF11E,['B002OHDRF2']
A10FBJXMQPI0LL,['B0001G6PZC']
A10GI7HCPT27SZ,['0800103688']
A10JQC90NQYQI2,"['B004EPYZQM', 'B004EPYZQM']"
A10LIHFA4SSK3F,[]
A10MH3OBX7DBEY,['B00000IC84']
A10N7PUPW9MO2H,['B000CDSS86']
A10NKCAL2DC689,['B004EPYZQM']
A10ODC971MDHV8,"['B000063W1R', 'B0001EYSQC', 'B00004RQB1', 'B004SCMGSU']"
A10SJI3G0LOUUA,['B003QWVPT4']
A10TXNNXT739RS,['B0042800WE']
A10UVC4IRS4C6E,['B0001G6PZC']
A10X0JN8KTK89H,[]
A10X4NX66GHW49,['B000063W82']
A10X5D8JIK3QMS,[]
A10XF7RAXQCIR9,['B00097E6NQ']
A10XHOI86O75LH,['B00022VM5S']
A10XUPHLWRCGY4,['B000063W82']
A10YFAFXHLG8E0,[]
A10ZNYHOIECHWU,[]
A10ZS1C79VOS56,['B001E6JCBC']
A110KTULVD9F66,['B001AQT0VI']
A110UAX71H8R0W,['0790747324']
A111WCF2569629,['078401115X']
A112G91I1ZR2A7,[]
A112H6LPW6II9W,['B00022VM5I']
A112UYCJEYZPIP,['B000063W1R']
A113ZY9KU8TONV,['B000063W82']
A115MQ1O1XLHXK,['B004EPYZQ2']
A117AZLM38CH5E,['B0094MOQ0K']
A11977Q3OXQYHD,['B00096S43U']
A11BZ39QSLERNI,['B000UGBOT0']
A11DP2FVDXZLX5,['B004EPYZQM']
A11ED8O95W2103,"['B002OHDRF2', 'B000063W82', 'B000FVQLQQ']"
A11EUXRL9HXW6R,['B0001G6PZC']
A11FLFKOSMOC0T,['B0051ZIXMQ']
A11FUNOW8SAH21,['B000FVQLQQ']
A11HMB8Z48EV76,['B0001G6PZC']
A11IK2JUA3Z2KX,['0800103688']
A11IKZMXWDI763,['B0001G6PZC']
A11JC53JUZ0TBK,['B000063W82']
A11JGJ4BCVQGGY,['B0016OLXN2']
A11JU33HMT5XPU,[]
A11KP5UH2CT949,['6304179499']
A11KRMIA0ES88I,['B0001EYSQC']
A11KZBJY0PMMKA,['B003BGZ60Y']
A11L5M4MJP00UW,['B00004CQT3']
A11N5Z947M8I10,['B00004CM33']
A11N9X1EVISUV7,['B000T4SWXO']
A11NH0A73VNNA6,['6304286961']
A11O2BXE1ZUQLH,['6305796173']
A11OUODMLBP0EF,[]
A11PTCZ2FM2547,"['B0016OLXN2', 'B000FVQLQQ']"
A11PZ6HSK13L66,['B00020HBNC']
A11Q4DC4YPPZGF,['6300147967']
A11R16C1ZKEWOI,['0800103688']
A11SMJ2SH7OAR7,['B006FYGF8Q']
A11TP48FKXH3F7,[]
A11W7LL1LA641,['B009B6XA1U']
A11XGDMI80H36Z,['B001E6JCBC']
A11XKY4EIU2KNR,[]
A11XQIT4N5TC8S,['0790747324']
A11YJS79DZD7D9,[]
A11YOTONCPRQ9S,['B006FYGF8Q']
A11YV6VC51HJTV,['6304179499']
A120QU1FG8CD1E,['B000063W82']
